cod_uf;UF;garbage_2000;garbage_2020
11;Rondônia;1.8;4.28
12;Acre;0.66;0.34
13;Amazonas;1.04;0.4
14;Roraima;7.18;9.32
15;Pará;1.79;1.56
16;Amapá;0;1.92
17;Tocantins;2.74;4.44
21;Maranhão;11.92;0.72
22;Piauí;4.64;5.13
23;Ceará;0.89;14.75
24;Rio Grande do Norte;9.02;3.92
25;Paraíba;2.88;0.74
26;Pernambuco;1.24;9.8
27;Alagoas;0.42;0.3
28;Sergipe;9.74;3.13
29;Bahia;11.97;4.48
31;Minas Gerais;9.68;10.04
32;Espírito Santo;0.85;5.17
33;Rio de Janeiro;6.54;10.97
35;São Paulo;6.57;6.24
41;Paraná;0.88;3.11
42;Santa Catarina;0.97;2.16
43;Rio Grande do Sul;3.13;2.11
50;Mato Grosso do Sul;4.26;5.51
51;Mato Grosso;0.72;2.64
52;Goiás;3.07;3.4
53;Distrito Federal;0.31;2.51
