month;mort_pad_att;UF;capital;regiao
2000 Jan;4,0034;RO;Porto Velho;Norte
2000 Feb;2,4013;RO;Porto Velho;Norte
2000 Mar;5,4385;RO;Porto Velho;Norte
2000 Apr;2,1426;RO;Porto Velho;Norte
2000 May;4,1236;RO;Porto Velho;Norte
2000 Jun;2,7034;RO;Porto Velho;Norte
2000 Jul;5,4039;RO;Porto Velho;Norte
2000 Aug;6,1955;RO;Porto Velho;Norte
2000 Sep;4,1156;RO;Porto Velho;Norte
2000 Oct;2,903;RO;Porto Velho;Norte
2000 Nov;2,4013;RO;Porto Velho;Norte
2000 Dec;5,9944;RO;Porto Velho;Norte
2001 Jan;0,9851;RO;Porto Velho;Norte
2001 Feb;1,8379;RO;Porto Velho;Norte
2001 Mar;2,8171;RO;Porto Velho;Norte
2001 Apr;1,4576;RO;Porto Velho;Norte
2001 May;1,1767;RO;Porto Velho;Norte
2001 Jun;4,3043;RO;Porto Velho;Norte
2001 Jul;4,5329;RO;Porto Velho;Norte
2001 Aug;3,1801;RO;Porto Velho;Norte
2001 Sep;3,8589;RO;Porto Velho;Norte
2001 Oct;1,2245;RO;Porto Velho;Norte
2001 Nov;2,7502;RO;Porto Velho;Norte
2001 Dec;3,5777;RO;Porto Velho;Norte
2002 Jan;1,5109;RO;Porto Velho;Norte
2002 Feb;3,6255;RO;Porto Velho;Norte
2002 Mar;3,6948;RO;Porto Velho;Norte
2002 Apr;3,5782;RO;Porto Velho;Norte
2002 May;5,2655;RO;Porto Velho;Norte
2002 Jun;3,2629;RO;Porto Velho;Norte
2002 Jul;4,826;RO;Porto Velho;Norte
2002 Aug;5,2955;RO;Porto Velho;Norte
2002 Sep;0,9381;RO;Porto Velho;Norte
2002 Oct;3,2613;RO;Porto Velho;Norte
2002 Nov;4,2525;RO;Porto Velho;Norte
2002 Dec;3,7362;RO;Porto Velho;Norte
2003 Jan;4,3904;RO;Porto Velho;Norte
2003 Feb;1,7774;RO;Porto Velho;Norte
2003 Mar;2,0623;RO;Porto Velho;Norte
2003 Apr;3,3378;RO;Porto Velho;Norte
2003 May;1,4561;RO;Porto Velho;Norte
2003 Jun;2,5907;RO;Porto Velho;Norte
2003 Jul;2,9738;RO;Porto Velho;Norte
2003 Aug;3,5373;RO;Porto Velho;Norte
2003 Sep;3,9637;RO;Porto Velho;Norte
2003 Oct;3,4303;RO;Porto Velho;Norte
2003 Nov;3,4146;RO;Porto Velho;Norte
2003 Dec;0,452;RO;Porto Velho;Norte
2004 Jan;3,3343;RO;Porto Velho;Norte
2004 Feb;3,4942;RO;Porto Velho;Norte
2004 Mar;2,4817;RO;Porto Velho;Norte
2004 Apr;1,7771;RO;Porto Velho;Norte
2004 May;2,1586;RO;Porto Velho;Norte
2004 Jun;2,5546;RO;Porto Velho;Norte
2004 Jul;4,3659;RO;Porto Velho;Norte
2004 Aug;4,3526;RO;Porto Velho;Norte
2004 Sep;1,4505;RO;Porto Velho;Norte
2004 Oct;4,6199;RO;Porto Velho;Norte
2004 Nov;3,5228;RO;Porto Velho;Norte
2004 Dec;2,0171;RO;Porto Velho;Norte
2005 Jan;4,6468;RO;Porto Velho;Norte
2005 Feb;4,6704;RO;Porto Velho;Norte
2005 Mar;3,3803;RO;Porto Velho;Norte
2005 Apr;3,0077;RO;Porto Velho;Norte
2005 May;0,5953;RO;Porto Velho;Norte
2005 Jun;3,0683;RO;Porto Velho;Norte
2005 Jul;2,9294;RO;Porto Velho;Norte
2005 Aug;3,3792;RO;Porto Velho;Norte
2005 Sep;4,0291;RO;Porto Velho;Norte
2005 Oct;3,9618;RO;Porto Velho;Norte
2005 Nov;2,7248;RO;Porto Velho;Norte
2005 Dec;1,3583;RO;Porto Velho;Norte
2006 Jan;2,0906;RO;Porto Velho;Norte
2006 Feb;1,8602;RO;Porto Velho;Norte
2006 Mar;4,5963;RO;Porto Velho;Norte
2006 Apr;1,6465;RO;Porto Velho;Norte
2006 May;1,7229;RO;Porto Velho;Norte
2006 Jun;2,5809;RO;Porto Velho;Norte
2006 Jul;4,1615;RO;Porto Velho;Norte
2006 Aug;3,4697;RO;Porto Velho;Norte
2006 Sep;2,1699;RO;Porto Velho;Norte
2006 Oct;3,8099;RO;Porto Velho;Norte
2006 Nov;3,2301;RO;Porto Velho;Norte
2006 Dec;1,7985;RO;Porto Velho;Norte
2007 Jan;2,6078;RO;Porto Velho;Norte
2007 Feb;1,2568;RO;Porto Velho;Norte
2007 Mar;1,2932;RO;Porto Velho;Norte
2007 Apr;2,0483;RO;Porto Velho;Norte
2007 May;2,0658;RO;Porto Velho;Norte
2007 Jun;3,8603;RO;Porto Velho;Norte
2007 Jul;3,8302;RO;Porto Velho;Norte
2007 Aug;3,3321;RO;Porto Velho;Norte
2007 Sep;4,6869;RO;Porto Velho;Norte
2007 Oct;4,5061;RO;Porto Velho;Norte
2007 Nov;2,7917;RO;Porto Velho;Norte
2007 Dec;2,508;RO;Porto Velho;Norte
2008 Jan;2,4532;RO;Porto Velho;Norte
2008 Feb;3,4729;RO;Porto Velho;Norte
2008 Mar;2,1678;RO;Porto Velho;Norte
2008 Apr;3,3082;RO;Porto Velho;Norte
2008 May;1,9967;RO;Porto Velho;Norte
2008 Jun;1,7649;RO;Porto Velho;Norte
2008 Jul;6,1295;RO;Porto Velho;Norte
2008 Aug;3,8574;RO;Porto Velho;Norte
2008 Sep;3,7069;RO;Porto Velho;Norte
2008 Oct;2,7205;RO;Porto Velho;Norte
2008 Nov;2,3753;RO;Porto Velho;Norte
2008 Dec;3,3852;RO;Porto Velho;Norte
2009 Jan;2,0391;RO;Porto Velho;Norte
2009 Feb;0,4761;RO;Porto Velho;Norte
2009 Mar;2,418;RO;Porto Velho;Norte
2009 Apr;1,3815;RO;Porto Velho;Norte
2009 May;3,3165;RO;Porto Velho;Norte
2009 Jun;2,2555;RO;Porto Velho;Norte
2009 Jul;3,0174;RO;Porto Velho;Norte
2009 Aug;4,2335;RO;Porto Velho;Norte
2009 Sep;1,41;RO;Porto Velho;Norte
2009 Oct;5,3275;RO;Porto Velho;Norte
2009 Nov;2,684;RO;Porto Velho;Norte
2009 Dec;3,4182;RO;Porto Velho;Norte
2010 Jan;4,4508;RO;Porto Velho;Norte
2010 Feb;2,2138;RO;Porto Velho;Norte
2010 Mar;2,335;RO;Porto Velho;Norte
2010 Apr;1,7287;RO;Porto Velho;Norte
2010 May;3,5861;RO;Porto Velho;Norte
2010 Jun;4,7337;RO;Porto Velho;Norte
2010 Jul;4,6827;RO;Porto Velho;Norte
2010 Aug;5,0621;RO;Porto Velho;Norte
2010 Sep;3,9183;RO;Porto Velho;Norte
2010 Oct;4,7357;RO;Porto Velho;Norte
2010 Nov;5,3132;RO;Porto Velho;Norte
2010 Dec;2,4327;RO;Porto Velho;Norte
2011 Jan;3,3386;RO;Porto Velho;Norte
2011 Feb;3,2485;RO;Porto Velho;Norte
2011 Mar;2,9931;RO;Porto Velho;Norte
2011 Apr;3,8105;RO;Porto Velho;Norte
2011 May;4,4807;RO;Porto Velho;Norte
2011 Jun;3,1115;RO;Porto Velho;Norte
2011 Jul;4,4877;RO;Porto Velho;Norte
2011 Aug;1,9973;RO;Porto Velho;Norte
2011 Sep;2,9732;RO;Porto Velho;Norte
2011 Oct;5,5225;RO;Porto Velho;Norte
2011 Nov;4,5127;RO;Porto Velho;Norte
2011 Dec;4,6763;RO;Porto Velho;Norte
2012 Jan;4,7659;RO;Porto Velho;Norte
2012 Feb;1,8262;RO;Porto Velho;Norte
2012 Mar;2,4704;RO;Porto Velho;Norte
2012 Apr;3,5253;RO;Porto Velho;Norte
2012 May;3,9751;RO;Porto Velho;Norte
2012 Jun;3,0427;RO;Porto Velho;Norte
2012 Jul;3,257;RO;Porto Velho;Norte
2012 Aug;3,9069;RO;Porto Velho;Norte
2012 Sep;5,7281;RO;Porto Velho;Norte
2012 Oct;5,5173;RO;Porto Velho;Norte
2012 Nov;3,8911;RO;Porto Velho;Norte
2012 Dec;4,858;RO;Porto Velho;Norte
2013 Jan;2,6049;RO;Porto Velho;Norte
2013 Feb;2,7471;RO;Porto Velho;Norte
2013 Mar;2,6605;RO;Porto Velho;Norte
2013 Apr;2,7103;RO;Porto Velho;Norte
2013 May;1,4607;RO;Porto Velho;Norte
2013 Jun;2,7608;RO;Porto Velho;Norte
2013 Jul;3,2634;RO;Porto Velho;Norte
2013 Aug;2,5859;RO;Porto Velho;Norte
2013 Sep;2,2969;RO;Porto Velho;Norte
2013 Oct;2,1493;RO;Porto Velho;Norte
2013 Nov;2,6066;RO;Porto Velho;Norte
2013 Dec;2,979;RO;Porto Velho;Norte
2014 Jan;1,5898;RO;Porto Velho;Norte
2014 Feb;1,4249;RO;Porto Velho;Norte
2014 Mar;3,477;RO;Porto Velho;Norte
2014 Apr;3,0846;RO;Porto Velho;Norte
2014 May;2,4216;RO;Porto Velho;Norte
2014 Jun;2,7942;RO;Porto Velho;Norte
2014 Jul;3,4112;RO;Porto Velho;Norte
2014 Aug;3,3141;RO;Porto Velho;Norte
2014 Sep;3,3322;RO;Porto Velho;Norte
2014 Oct;1,343;RO;Porto Velho;Norte
2014 Nov;2,1493;RO;Porto Velho;Norte
2014 Dec;3,3321;RO;Porto Velho;Norte
2015 Jan;1,5047;RO;Porto Velho;Norte
2015 Feb;3,3121;RO;Porto Velho;Norte
2015 Mar;1,674;RO;Porto Velho;Norte
2015 Apr;1,5666;RO;Porto Velho;Norte
2015 May;2,0829;RO;Porto Velho;Norte
2015 Jun;2,168;RO;Porto Velho;Norte
2015 Jul;3,8192;RO;Porto Velho;Norte
2015 Aug;2,1549;RO;Porto Velho;Norte
2015 Sep;1,9993;RO;Porto Velho;Norte
2015 Oct;1,9511;RO;Porto Velho;Norte
2015 Nov;2,2187;RO;Porto Velho;Norte
2015 Dec;1,342;RO;Porto Velho;Norte
2016 Jan;0,7802;RO;Porto Velho;Norte
2016 Feb;1,8006;RO;Porto Velho;Norte
2016 Mar;1,8522;RO;Porto Velho;Norte
2016 Apr;1,2806;RO;Porto Velho;Norte
2016 May;2,197;RO;Porto Velho;Norte
2016 Jun;1,7608;RO;Porto Velho;Norte
2016 Jul;3,0872;RO;Porto Velho;Norte
2016 Aug;0,9645;RO;Porto Velho;Norte
2016 Sep;1,4265;RO;Porto Velho;Norte
2016 Oct;2,3855;RO;Porto Velho;Norte
2016 Nov;1,7514;RO;Porto Velho;Norte
2016 Dec;1,9051;RO;Porto Velho;Norte
2017 Jan;1,3109;RO;Porto Velho;Norte
2017 Feb;1,0509;RO;Porto Velho;Norte
